crystal_system,seed,feature,mae_increase,within_seed_std,test_mae,rank_within_seed
Monoclinic,11,MagpieData avg_dev NsUnfilled,0.0007654917579509535,0.00024622969917365554,0.5861431574274213,76.0
Monoclinic,11,MagpieData mode NsUnfilled,-1.5060440305036949e-05,3.1801497632315733e-06,0.5861431574274213,135.0
Monoclinic,11,MagpieData minimum NpUnfilled,5.040229922781414e-05,1.7630933566927054e-05,0.5861431574274213,114.0
Monoclinic,11,MagpieData maximum NpUnfilled,0.0004518137615872497,0.0002601800000514823,0.5861431574274213,88.0
Monoclinic,11,MagpieData range NpUnfilled,0.0006502787226525975,0.0001241952796441259,0.5861431574274213,81.0
Monoclinic,11,MagpieData mean NpUnfilled,0.00830294454487579,0.0012866995665841603,0.5861431574274213,23.0
Monoclinic,11,MagpieData avg_dev NpUnfilled,0.002685910140037695,0.00022525494885573046,0.5861431574274213,52.0
Monoclinic,11,MagpieData mode NpUnfilled,0.0003292340094930957,0.00017687694769931788,0.5861431574274213,92.0
Monoclinic,11,MagpieData minimum NdUnfilled,0.0,0.0,0.5861431574274213,125.0
Monoclinic,11,MagpieData maximum NdUnfilled,0.0020783280112090406,0.0004308258896141528,0.5861431574274213,57.0
Monoclinic,11,MagpieData range NdUnfilled,0.003917158998893,0.0005686109786589777,0.5861431574274213,46.0
Monoclinic,11,MagpieData mean NdUnfilled,0.0038564481563788445,0.0004016942417844252,0.5861431574274213,47.0
Monoclinic,11,MagpieData avg_dev NdUnfilled,0.006864743063974554,0.0005574944562050845,0.5861431574274213,26.0
Monoclinic,11,MagpieData mode NdUnfilled,2.2204460492503132e-17,4.440892098500627e-17,0.5861431574274213,122.0
Monoclinic,11,MagpieData minimum NfUnfilled,2.2204460492503132e-17,4.4408920985006264e-17,0.5861431574274213,122.0
Monoclinic,11,MagpieData maximum NfUnfilled,-0.00021448890407502753,8.387421260447217e-05,0.5861431574274213,138.0
Monoclinic,11,MagpieData range NfUnfilled,0.00017136010371305855,6.204424785293107e-05,0.5861431574274213,100.0
Monoclinic,11,MagpieData mean NfUnfilled,0.00017247445721766397,7.780127023328374e-05,0.5861431574274213,99.0
Monoclinic,11,MagpieData avg_dev NfUnfilled,0.00012851141038559,9.027548124805757e-05,0.5861431574274213,103.0
Monoclinic,11,MagpieData mode NfUnfilled,0.0,0.0,0.5861431574274213,125.0
Monoclinic,11,MagpieData minimum NUnfilled,0.0006835627813192247,0.0003115413108584758,0.5861431574274213,78.0
Monoclinic,11,MagpieData maximum NUnfilled,0.00726910532266285,0.0008672343786392273,0.5861431574274213,25.0
Monoclinic,11,MagpieData range NUnfilled,0.024915958631297763,0.0031320318309792294,0.5861431574274213,6.0
Monoclinic,11,MagpieData mean NUnfilled,0.004717518587087488,0.0007494999615450435,0.5861431574274213,38.0
Monoclinic,11,MagpieData avg_dev NUnfilled,0.007960866891369368,0.0006656288951232389,0.5861431574274213,24.0
Monoclinic,11,MagpieData mode NUnfilled,7.172594697202328e-05,7.820768694186616e-05,0.5861431574274213,111.0
Monoclinic,11,MagpieData minimum GSvolume_pa,0.004993307796428948,0.0011516199511187812,0.5861431574274213,37.0
Monoclinic,11,MagpieData maximum GSvolume_pa,0.0012030738089271243,0.00025391910848623266,0.5861431574274213,67.0
Monoclinic,11,MagpieData range GSvolume_pa,0.008970902961813864,0.0006637801227866001,0.5861431574274213,21.0
Monoclinic,11,MagpieData mean GSvolume_pa,0.012386383146067126,0.001739810647304309,0.5861431574274213,17.0
Monoclinic,11,MagpieData avg_dev GSvolume_pa,0.00650715921403211,0.0006340552410352228,0.5861431574274213,28.0
Monoclinic,11,MagpieData mode GSvolume_pa,0.00016609627630537194,5.033422267926647e-05,0.5861431574274213,101.0
Monoclinic,11,MagpieData minimum GSbandgap,0.0,0.0,0.5861431574274213,125.0
Monoclinic,11,MagpieData maximum GSbandgap,0.0028642473331606634,0.0007100062348242336,0.5861431574274213,50.0
Monoclinic,11,MagpieData range GSbandgap,0.0017167538999062649,0.0004173144369728831,0.5861431574274213,61.0
Monoclinic,11,MagpieData mean GSbandgap,0.018268272063933354,0.002138988256188607,0.5861431574274213,9.0
Monoclinic,11,MagpieData avg_dev GSbandgap,0.005505111697194365,0.0013658587914601218,0.5861431574274213,33.0
Monoclinic,11,MagpieData mode GSbandgap,8.747726520617061e-05,1.8932997223735017e-05,0.5861431574274213,108.0
